symbol,adjust_link,added_by
BTC/USDT,https://mudrex.go.link/btc,system
ETH/USDT,https://mudrex.go.link/eth,system
SOL/USDT,https://mudrex.go.link/sol,system
XRP/USDT,https://mudrex.go.link/xrp,system
ADA/USDT,https://mudrex.go.link/ada,system
DOGE/USDT,https://mudrex.go.link/doge,system
AVAX/USDT,https://mudrex.go.link/avax,system
MATIC/USDT,https://mudrex.go.link/matic,system
DOT/USDT,https://mudrex.go.link/dot,system
UNI/USDT,https://mudrex.go.link/uni,system
LINK/USDT,https://mudrex.go.link/link,system
ATOM/USDT,https://mudrex.go.link/atom,system
LTC/USDT,https://mudrex.go.link/ltc,system
BCH/USDT,https://mudrex.go.link/bch,system
NEAR/USDT,https://mudrex.go.link/near,system
ALGO/USDT,https://mudrex.go.link/algo,system
VET/USDT,https://mudrex.go.link/vet,system
ICP/USDT,https://mudrex.go.link/icp,system
FIL/USDT,https://mudrex.go.link/fil,system
APT/USDT,https://mudrex.go.link/apt,system
